iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,0.23977695167286245,538,159.1751301765495,125.64776908187196,5,0.0,5,406.8525485264725,30.68679315201007
2,40000,0.25806451612903225,527,79.54100163296211,251.44264705502428,10,2.6,5,400.98262143063806,2.835534357931465
3,60000,0.297029702970297,505,78.4713608091804,254.8700544219464,15,0.0,5,423.4697590822268,29.475540418876335
4,80000,0.28431372549019607,510,79.44012038476022,251.76195483002812,20,0.0,5,419.1135948655351,29.803375869989395
5,100000,0.27167630057803466,519,76.2017935292838,262.46101402211934,25,0.0,5,431.8140605755191,28.922170768026263
6,120000,0.2424812030075188,532,75.65326017024664,264.36402020207606,30,0.0,5,416.48421562116533,29.99393381900154
7,140000,0.28487229862475444,509,64.66775913828012,309.27312568901107,35,0.0,5,317.0668945061595,39.36077911709435
8,160000,0.22777777777777777,540,44.89525509538684,445.4813756488729,40,0.0,5,255.51495962404695,48.87776441103779
9,180000,0.27734375,512,42.98992333004563,465.2253005071543,45,0.0,5,260.06023149600094,48.00810922984965
10,200000,0.26285714285714284,525,43.92170761388644,455.3557019189466,50,0.0,5,256.8231272754844,48.63269181596115
11,220000,0.25096525096525096,518,43.901182679565096,455.56859244499356,55,0.0,5,243.413517801642,51.2954256311059
12,240000,0.2678227360308285,519,43.24699474451757,462.4598800020758,60,0.0,5,238.8352317009469,52.27034517098218
13,260000,0.4179431072210066,457,43.689159032181315,457.77946847793646,65,0.0,5,237.50886987192834,52.60856155282818
14,280000,0.4627906976744186,430,43.25927364905931,462.3286133338697,70,0.0,5,230.81944366605762,54.10289446008392
15,300000,0.4964200477326969,419,44.13120889862367,453.1940207199659,75,2.0,5,250.16607137426973,41.680312372976914
16,320000,0.5652173913043478,391,43.67287612260691,457.9501460781321,80,0.0,5,242.47785052360777,51.51810762519017
17,340000,0.7111111111111111,360,43.12507586240315,463.76730011589825,85,0.0,5,241.7385179903705,51.66739708604291
18,360000,0.8507462686567164,335,43.53403312818956,459.4106854540296,90,10.0,5,235.5068349545942,28.525711371796206
19,380000,0.7643835616438356,365,43.88472541500769,455.73943578009494,95,16.4,5,234.57660750639639,20.914276372874156
