iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episods,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
1,20000,24.583333333333332,144,311.9936796770664,64.10386268305592,5,144.0,5,627.9020797566621,13.043435057858005
2,40000,20.666666666666668,150,190.15000330855557,105.18011912703514,10,116.0,5,615.4500616591633,4.53164305887185
3,60000,16.12121212121212,165,187.2642217205294,106.80096719088033,15,260.0,5,578.5565580802066,7.959463834064081
4,80000,26.567164179104477,134,181.82244076948595,109.997423394816,20,440.0,5,569.6905770551444,12.101306003052741
5,100000,27.424242424242426,132,180.3748727029891,110.8801891321782,25,476.0,5,588.7289552530788,11.533320961054415
6,120000,34.621848739495796,119,179.6518439382716,111.32643874711357,30,276.0,5,540.6357591102515,7.7075922740623355
7,140000,32.91338582677165,127,173.60068780946153,115.2069168179296,35,320.0,5,533.7441230175466,9.079256878001615
8,160000,38.29059829059829,117,174.71606152764426,114.47144484100863,40,300.0,5,495.39932253825395,10.60962290596217
9,180000,32.46153846153846,130,175.45848882055014,113.9870754298754,45,336.0,5,575.924811346081,10.00825088005513
10,200000,34.91803278688525,122,175.1138688397058,114.21139931702055,50,304.0,5,632.1797767080951,7.858524082927033
11,220000,34.44444444444444,126,174.9939959964531,114.28963540215045,55,316.0,5,624.4303038346129,8.00729876384139
12,240000,39.33884297520661,121,175.67206348636478,113.84849476395175,60,232.0,5,584.9556528736008,6.326975355856121
13,260000,42.05128205128205,117,172.1025035175883,116.20981444907375,65,292.0,5,560.0541777007265,8.66880418593064
14,280000,39.67213114754098,122,169.59070433531525,117.93099202215672,70,224.0,5,493.86382578594635,7.915137323085219
15,300000,46.79245283018868,106,171.26815977454723,116.775937957922,75,244.0,5,559.1686319498901,6.758247483987361
16,320000,42.95652173913044,115,175.15322675835552,114.18573537096381,80,240.0,5,551.6350592069663,6.46441871393472
17,340000,46.90909090909091,110,170.44136801969736,117.34240479511209,85,276.0,5,525.0637794157846,9.368385694921017
18,360000,49.81818181818182,110,170.1412664996553,117.54937771102414,90,304.0,5,509.81080609407,9.146530329016969
19,380000,40.50420168067227,119,173.14719599206148,115.50865658209659,95,252.0,5,576.4606763621978,6.855628080200404
20,400000,45.0,112,168.339248488884,118.8077063402161,100,208.0,5,603.8908236327061,6.353797490941361
21,420000,53.333333333333336,102,170.71316095320813,117.15558360191062,105,252.0,5,547.6676970352902,7.694446875015274
22,440000,44.44444444444444,108,173.3622389038586,115.3653767190408,110,288.0,5,600.6114815010521,7.74710464803502
23,460000,54.2,100,176.79025605814593,113.12840676819906,115,236.0,5,552.2351603390445,7.214317895937711
24,480000,55.05154639175258,97,170.98378049941448,116.9701590500772,120,236.0,5,531.0706045795014,7.641168547095731
25,500000,50.09708737864078,103,175.4371373654009,114.00094814784825,125,204.0,5,582.4603368469258,6.54293478699401
26,520000,60.212765957446805,94,177.68508627888966,112.55868693790399,130,384.0,5,595.0237367208423,10.04161621001549
27,540000,62.340425531914896,94,176.00075066216974,113.63587896502577,135,336.0,5,563.5727979935886,9.214426279067993
28,560000,56.36363636363637,99,170.72580345221022,117.14690805715509,140,224.0,5,528.6474915929817,7.420824012951925
29,580000,53.2,100,173.21325501300464,115.46460459101945,145,220.0,5,504.88413168578273,6.954070804873481
30,600000,52.15686274509804,102,175.7441050097416,113.80182566517033,150,316.0,5,566.7814820106024,8.043664348078892
31,620000,54.69387755102041,98,169.87382336806712,117.73444314999506,155,260.0,5,531.1038798304339,7.928769041085616
32,640000,61.29032258064516,93,162.248364650404,123.26780638494529,160,184.0,5,610.7472691025743,6.405268100090325
33,660000,52.323232323232325,99,165.39871437178294,120.91992417210713,165,244.0,5,520.0656092647326,9.179611023981124
34,680000,67.41573033707866,89,172.31400075527822,116.06717917486094,170,220.0,5,546.5154826102296,7.685052178101614
35,700000,61.79775280898876,89,167.66356548686366,119.28650056989864,175,320.0,5,554.5741970174878,9.529833931010216
36,720000,57.11340206185567,97,175.80401552509693,113.76304426416755,180,304.0,5,592.441359047085,8.110507355071604
37,740000,67.38095238095238,84,173.8673763136841,115.03020534408279,185,264.0,5,557.9951240126028,8.79577578511089
38,760000,53.13131313131313,99,164.56339417332592,121.53371106903069,190,132.0,5,527.272654071241,7.235345832072198
39,780000,67.90697674418605,86,168.6096618413607,118.61716453009285,195,228.0,5,550.6268487972637,8.181584334000945
40,800000,71.62790697674419,86,163.14546533025253,122.58998409495689,200,332.0,5,576.2149075692219,10.190642280969769
41,820000,63.111111111111114,90,164.43691959050744,121.62718719011173,205,360.0,5,559.3476671280384,9.786399982869625
42,840000,63.82022471910113,89,165.71622687260515,120.68824144406244,210,324.0,5,552.7872103364812,8.81170893413946
43,860000,67.38095238095238,84,166.1838443680135,120.34864204796031,215,396.0,5,572.6084056222469,11.037211361108348
44,880000,88.4931506849315,73,171.37303690305401,116.7044732440263,220,292.0,5,490.70060484505586,9.637241024989635
45,900000,77.94871794871794,78,169.27725183515048,118.1493661031127,225,320.0,5,583.8072596502521,7.656636545900255
46,920000,78.91891891891892,74,174.35262989638835,114.71005634893663,230,420.0,5,600.4435897547024,12.042763256002218
47,940000,87.82608695652173,69,170.24550167381273,117.47740647103637,235,464.0,5,577.6673449098524,10.907661746023223
48,960000,77.36842105263158,76,171.5386407660218,116.59180643316358,240,252.0,5,441.5979164408521,10.541263503953815
49,980000,70.9090909090909,77,173.41856065206636,115.3279091049917,245,312.0,5,536.3153677485983,9.973609412787482
50,1000000,70.75,80,167.5799475770657,119.34602134185843,250,348.0,5,582.6270252728517,10.423478034092113
51,1020000,76.57894736842105,76,166.56215932574614,120.07529249717481,255,276.0,5,578.5188752456081,8.628931939136237
52,1040000,64.3010752688172,93,165.92470436296296,120.53660168801434,260,212.0,5,558.0867429405852,8.038176962174475
53,1060000,74.87179487179488,78,169.96304039351557,117.67264196788892,265,588.0,5,621.9820924480606,11.497115571051836
54,1080000,92.7536231884058,69,165.13259608498956,121.11479183495976,270,372.0,5,578.3545166359127,9.725868542911485
55,1100000,96.52173913043478,69,131.16590927869694,152.4786441079341,275,420.0,5,515.1619849391639,11.939933806890622
56,1120000,107.3015873015873,63,124.65891515214503,160.43778317491524,280,400.0,5,630.4131363808108,9.36052829399705
57,1140000,105.625,64,168.45763633034053,118.72421123599634,285,428.0,5,515.921650877838,12.092921453062445
58,1160000,104.4776119402985,67,171.80313831516304,116.41230885614641,290,612.0,5,554.4435540719618,14.062748034019023
59,1180000,90.0,76,171.9871505511572,116.28775717201643,295,312.0,5,476.2212188478651,9.995354704093188
60,1200000,104.6376811594203,69,166.20466995423394,120.3335622609593,300,464.0,5,506.66157137261655,11.660643581068143
61,1220000,106.86567164179104,67,163.5756074085597,122.26761872903444,305,620.0,5,558.743063026272,14.137088265968487
62,1240000,103.63636363636364,66,170.5301792952989,117.2812934499234,310,584.0,5,609.5357824171675,12.059997480129823
63,1260000,118.70967741935483,62,172.43094457587472,115.98846163717099,315,468.0,5,539.7975921363773,11.965596168069169
64,1280000,123.0,60,167.22275609806465,119.60094706411473,320,364.0,5,540.3330515648845,9.370146773988381
65,1300000,118.4375,64,81.29327427540761,246.02281281282194,325,684.0,5,442.3003478632825,18.79039896791801
66,1320000,103.28358208955224,67,71.37532069288044,280.2088986199815,330,532.0,5,439.0149302187169,15.035935102961957
67,1340000,112.8125,64,73.66247745219519,271.5086525969673,335,756.0,5,432.858863660805,19.951075800927356
68,1360000,120.65573770491804,61,71.60256845675082,279.3195891021751,340,440.0,5,425.28999014556473,13.698888135142624
69,1380000,104.85714285714286,70,71.7921700445107,278.58191203302704,345,552.0,5,450.4381006673674,16.72815862786956
70,1400000,103.52941176470588,68,72.32532382907705,276.52831596392207,350,632.0,5,360.5449573804671,20.69644810515456
